wid,loc,wcityid,name,address,country
FRPRSGBEUS3,"{""lat"": 48.841027, ""lng"": 2.366392}",FRPRS,Austerlitz Station,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75013"", ""country"": ""FR"", ""street1"": ""85 Quai d'Austerlitz""}",FR
FRPRSDEFLX10,"{""lat"": 48.866542, ""lng"": 2.367635}",FRPRS,Avenue de la Republique 16,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75011"", ""country"": ""FR"", ""street1"": ""Avenue de la Republique 16""}",FR
FRPRSDEDBT8,"{""lat"": 49.4622992, ""lng"": 2.1121457}",FRPRS,Beauvais Airport (Rue des vignes),"{""city"": ""Paris"", ""state"": """", ""postal"": ""60000"", ""country"": ""FR"", ""street1"": ""5 Rue des Vignes""}",FR
FRPRSOUI4,"{""lat"": 48.838424, ""lng"": 2.382411}",FRPRS,Bercy,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75012"", ""country"": ""FR"", ""street1"": ""48 bis Boulevard de Bercy""}",FR
FRPRSDEDBT9,"{""lat"": 48.884826, ""lng"": 2.329681}",FRPRS,Bus Station,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75018"", ""country"": ""FR"", ""street1"": ""Caulaincourt Street""}",FR
FRPRSFRLBD5,"{""lat"": 48.87495, ""lng"": 2.294063}",FRPRS,Champs Elysees,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75017"", ""country"": ""FR"", ""street1"": ""1 Avenue Carnot""}",FR
FRPRSFRLBD,"{""lat"": 49.0144363, ""lng"": 2.54034679999995}",FRPRS,Charles de Gaulle Airport Terminal 1,"{""city"": ""Paris"", ""state"": """", ""postal"": ""77990"", ""country"": ""FR"", ""street1"": ""Dépose Minute Terminal 1 245""}",FR
FRPRSDEDBT7,"{""lat"": 48.8785, ""lng"": 2.362071}",FRPRS,Château Landon,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75010"", ""country"": ""FR"", ""street1"": ""Rue du Faubourg Saint-Martin 177""}",FR
FRPRSFRLBD9,"{""lat"": 48.856089, ""lng"": 2.293187}",FRPRS,Eiffel Tower,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75007"", ""country"": ""FR"", ""street1"": ""Avenue de Suffren 16-20""}",FR
FRPRSFROBS,"{""lat"": 48.83568689, ""lng"": 2.380160747}",FRPRS,Gare De Bercy,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75012"", ""country"": ""FR"", ""street1"": ""210 Quai De Bercy""}",FR
FRPRSGBEUS2,"{""lat"": 48.84441, ""lng"": 2.374439}",FRPRS,Gare de Lyon,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75012"", ""country"": ""FR"", ""street1"": ""Place Louis-Armand""}",FR
FRPRSFRLBD103,"{""lat"": 48.845775, ""lng"": 2.373557}",FRPRS,Gare de Lyon,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75012"", ""country"": ""FR"", ""street1"": ""Boulevard Diderot 20""}",FR
FRPRSGBEUS4,"{""lat"": 48.840488, ""lng"": 2.319576}",FRPRS,Gare de Paris-Montparnasse Transit Station,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75015"", ""country"": ""FR"", ""street1"": ""17 Bd de Vaugirard""}",FR
FRPRSGBEUS,"{""lat"": 48.880955, ""lng"": 2.355292}",FRPRS,Gare du Nord,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75010"", ""country"": ""FR"", ""street1"": ""Gare du Nord - 18 Rue de Dunkerque""}",FR
FRPRSFRRSR3,"{""lat"": 48.87986, ""lng"": 2.35835}",FRPRS,Gare Magenta,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75010"", ""country"": ""FR"", ""street1"": ""5b Rue De l'Aqueduc""}",FR
